Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
30-01-2020,Kerala,1,0,0,10.8505,76.2711,0,1
31-01-2020,Kerala,1,0,0,10.8505,76.2711,0,1
01-02-2020,Kerala,2,0,0,10.8505,76.2711,0,2
02-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
03-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
04-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
05-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
06-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
07-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
08-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
09-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
10-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
11-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
12-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
13-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
14-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
15-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
16-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
17-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
18-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
19-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
20-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
21-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
22-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
23-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
24-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
25-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
26-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
27-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
28-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
29-02-2020,Kerala,3,0,0,10.8505,76.2711,0,3
01-03-2020,Kerala,3,0,0,10.8505,76.2711,0,3
02-03-2020,Delhi,1,0,0,28.7041,77.1025,0,1
02-03-2020,Kerala,3,0,0,10.8505,76.2711,0,3
02-03-2020,Telengana,1,0,0,18.1124,79.0193,0,1
03-03-2020,Delhi,1,0,0,28.7041,77.1025,0,1
03-03-2020,Kerala,3,0,3,10.8505,76.2711,0,3
03-03-2020,Telengana,1,0,0,18.1124,79.0193,0,1
04-03-2020,Delhi,1,0,0,28.7041,77.1025,0,1
04-03-2020,Haryana,0,14,0,29.0588,76.0856,0,14
04-03-2020,Kerala,3,0,3,10.8505,76.2711,0,3
04-03-2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
04-03-2020,Telengana,1,0,0,18.1124,79.0193,0,1
04-03-2020,Uttar Pradesh,6,0,0,26.8467,80.9462,0,6
05-03-2020,Delhi,2,0,0,28.7041,77.1025,0,2
05-03-2020,Haryana,0,14,0,29.0588,76.0856,0,14
05-03-2020,Kerala,3,0,3,10.8505,76.2711,0,3
05-03-2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
05-03-2020,Telengana,1,0,0,18.1124,79.0193,0,1
05-03-2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
06-03-2020,Delhi,3,0,0,28.7041,77.1025,0,3
06-03-2020,Haryana,0,14,0,29.0588,76.0856,0,14
06-03-2020,Kerala,3,0,3,10.8505,76.2711,0,3
06-03-2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
06-03-2020,Telengana,1,0,0,18.1124,79.0193,0,1
06-03-2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
07-03-2020,Delhi,3,0,0,28.7041,77.1025,0,3
07-03-2020,Haryana,0,14,0,29.0588,76.0856,0,14
07-03-2020,Kerala,3,0,3,10.8505,76.2711,0,3
07-03-2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
07-03-2020,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
07-03-2020,Telengana,1,0,0,18.1124,79.0193,0,1
07-03-2020,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
07-03-2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
08-03-2020,Delhi,3,0,0,28.7041,77.1025,0,3
08-03-2020,Haryana,0,14,0,29.0588,76.0856,0,14
08-03-2020,Kerala,8,0,3,10.8505,76.2711,0,8
08-03-2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
08-03-2020,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
08-03-2020,Telengana,1,0,0,18.1124,79.0193,0,1
08-03-2020,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
08-03-2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
09-03-2020,Delhi,4,0,0,28.7041,77.1025,0,4
09-03-2020,Haryana,0,14,0,29.0588,76.0856,0,14
09-03-2020,Karnataka,1,0,0,15.3173,75.7139,0,1
09-03-2020,Kerala,9,0,3,10.8505,76.2711,0,9
09-03-2020,Maharashtra,2,0,0,19.7515,75.7139,0,2
09-03-2020,Punjab,1,0,0,31.1471,75.3412,0,1
09-03-2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
09-03-2020,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
09-03-2020,Telengana,1,0,0,18.1124,79.0193,0,1
09-03-2020,Union Territory of Jammu and Kashmir,1,0,0,33.7782,76.5762,0,1
09-03-2020,Union Territory of Ladakh,2,0,0,34.2996,78.2932,0,2
09-03-2020,Uttar Pradesh,7,0,0,26.8467,80.9462,0,7
10-03-2020,Delhi,4,0,0,28.7041,77.1025,0,4
10-03-2020,Haryana,0,14,0,29.0588,76.0856,0,14
10-03-2020,Karnataka,4,0,0,15.3173,75.7139,0,4
10-03-2020,Kerala,15,0,3,10.8505,76.2711,0,15
10-03-2020,Maharashtra,5,0,0,19.7515,75.7139,0,5
10-03-2020,Punjab,1,0,0,31.1471,75.3412,0,1
10-03-2020,Rajasthan,1,0,0,27.0238,74.2179,0,1
10-03-2020,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
10-03-2020,Telengana,1,0,0,18.1124,79.0193,0,1
